"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2022","18.41","18.13","18.57","17.89","2.46M","2.33%"
"09/19/2022","17.99","18.94","18.97","17.85","6.51M","-9.19%"
"09/16/2022","19.81","19.68","20.00","19.65","2.67M","3.45%"
"09/15/2022","19.15","19.03","19.40","18.82","1.95M","0.31%"
"09/14/2022","19.09","18.98","19.37","18.90","1.43M","0.42%"
"09/13/2022","19.01","18.65","19.39","18.42","2.78M","4.74%"
"09/12/2022","18.15","18.25","18.33","18.03","1.90M","-1.73%"
"09/09/2022","18.47","18.20","18.48","18.02","1.54M","1.37%"
"09/08/2022","18.22","18.65","18.73","18.10","2.13M","-1.78%"
"09/07/2022","18.55","19.41","19.45","18.34","1.62M","-3.64%"
"09/06/2022","19.25","18.82","19.57","18.75","1.32M","0.84%"
"09/02/2022","19.09","19.20","19.40","18.72","2.23M","-1.80%"
"09/01/2022","19.44","19.12","19.86","19.12","1.71M","1.04%"
"08/31/2022","19.24","19.35","19.42","19.04","1.41M","-1.23%"
"08/30/2022","19.48","19.70","20.08","19.32","1.55M","-1.17%"
"08/29/2022","19.71","20.28","20.30","19.47","2.27M","-2.18%"
"08/26/2022","20.15","19.50","21.20","19.49","3.31M","2.28%"
"08/25/2022","19.70","19.52","19.75","19.21","1.24M","-0.51%"
"08/24/2022","19.80","20.15","20.16","19.59","1.48M","-1.69%"
"08/23/2022","20.14","21.12","21.19","20.06","3.37M","-5.09%"
"08/22/2022","21.22","21.62","21.65","21.02","2.40M","0.28%"
"08/19/2022","21.16","21.35","21.50","21.15","1.52M","0.09%"
"08/18/2022","21.14","21.15","21.26","21.09","1.06M","0.19%"
"08/17/2022","21.10","21.50","21.67","21.02","1.48M","-0.89%"
"08/16/2022","21.29","21.37","21.49","21.07","1.58M","-0.93%"
"08/15/2022","21.49","22.28","22.28","21.15","2.01M","-2.54%"
"08/12/2022","22.05","21.66","22.05","21.63","1.53M","1.66%"
"08/11/2022","21.69","21.44","21.86","21.08","1.52M","1.17%"
"08/10/2022","21.44","21.55","21.98","21.42","1.53M","-2.28%"
"08/09/2022","21.94","22.32","22.38","21.81","827.96K","-0.59%"
"08/08/2022","22.07","21.35","22.42","21.35","2.02M","2.65%"
"08/05/2022","21.50","21.82","21.96","21.31","1.75M","0.84%"
"08/04/2022","21.32","22.15","22.15","21.32","1.73M","-2.87%"
"08/03/2022","21.95","21.27","22.04","21.02","2.10M","1.39%"
"08/02/2022","21.65","21.93","22.02","21.27","1.86M","-0.69%"
"08/01/2022","21.80","21.48","21.80","21.00","2.55M","4.11%"
"07/29/2022","20.94","20.94","21.20","20.73","1.77M","0.58%"
"07/28/2022","20.82","21.16","21.59","20.70","2.20M","-2.30%"
"07/27/2022","21.31","21.20","21.47","20.97","2.61M","-1.66%"
"07/26/2022","21.67","21.44","21.84","21.22","3.00M","2.46%"
"07/25/2022","21.15","20.06","21.17","20.04","5.11M","-1.17%"
"07/22/2022","21.40","21.11","21.84","21.05","2.72M","0.94%"
"07/21/2022","21.20","21.58","21.75","21.14","2.39M","-1.72%"
"07/20/2022","21.57","21.74","21.77","21.38","2.02M","-1.28%"
"07/19/2022","21.85","21.48","21.85","21.35","1.79M","-0.27%"
"07/18/2022","21.91","21.24","22.04","21.12","2.23M","1.72%"
"07/15/2022","21.54","21.98","22.12","21.47","3.40M","-3.49%"
"07/14/2022","22.32","22.99","23.06","22.30","3.18M","-0.40%"
"07/13/2022","22.41","22.86","23.03","22.16","2.36M","-0.31%"
"07/12/2022","22.48","22.30","22.72","21.96","2.07M","1.22%"
"07/11/2022","22.21","22.23","22.55","21.93","2.28M","1.00%"
"07/08/2022","21.99","22.30","22.30","21.82","1.91M","-1.52%"
"07/07/2022","22.33","22.12","22.33","21.77","2.33M","0.77%"
"07/06/2022","22.16","22.58","22.94","22.16","1.78M","-1.73%"
"07/05/2022","22.55","23.14","23.52","22.52","2.54M","0.04%"
"07/01/2022","22.54","23.18","23.54","22.41","2.25M","-2.34%"
"06/30/2022","23.08","23.25","23.77","22.78","2.59M","1.05%"
"06/29/2022","22.84","23.00","23.35","22.59","2.18M","0.26%"
"06/28/2022","22.78","22.25","23.06","22.17","3.06M","0.80%"
"06/27/2022","22.60","22.89","23.17","22.50","2.37M","-2.25%"
"06/24/2022","23.12","23.09","23.25","22.80","2.92M","-1.20%"
"06/23/2022","23.40","23.42","23.94","22.88","3.09M","-1.85%"
"06/22/2022","23.84","24.85","24.91","23.53","2.78M","-2.69%"
"06/21/2022","24.50","23.85","24.50","23.63","3.30M","-0.65%"
"06/17/2022","24.66","25.15","25.59","24.41","3.17M","-2.91%"
"06/16/2022","25.40","24.96","26.09","24.79","4.76M","5.97%"
"06/15/2022","23.97","24.80","25.05","23.16","5.64M","-5.37%"
"06/14/2022","25.33","25.58","26.06","25.02","3.30M","-1.97%"
"06/13/2022","25.84","24.63","26.29","24.52","7.40M","10.76%"
"06/10/2022","23.33","23.34","24.09","22.99","7.33M","0.86%"
"06/09/2022","23.13","21.75","23.34","21.57","4.20M","6.10%"
"06/08/2022","21.80","21.75","21.96","21.40","2.28M","0.60%"
"06/07/2022","21.67","22.01","22.34","21.61","2.87M","-1.63%"
"06/06/2022","22.03","21.61","22.45","21.51","3.86M","0.64%"
"06/03/2022","21.89","22.16","22.67","21.84","3.24M","0.88%"
"06/02/2022","21.70","22.39","22.54","21.70","3.44M","-2.52%"
"06/01/2022","22.26","22.15","23.20","21.96","3.14M","-1.33%"
"05/31/2022","22.56","22.80","23.05","22.20","3.62M","0.45%"
"05/27/2022","22.46","22.72","22.87","22.20","3.28M","-3.44%"
"05/26/2022","23.26","23.39","23.42","22.89","3.25M","-1.65%"
"05/25/2022","23.65","24.40","24.45","23.10","3.00M","-1.58%"
"05/24/2022","24.03","24.40","25.00","23.92","5.00M","-0.12%"
"05/23/2022","24.06","24.81","25.63","23.33","5.76M","-3.95%"
"05/20/2022","25.05","24.90","26.50","24.73","6.75M","-1.20%"
"05/19/2022","25.35","26.29","26.86","25.28","4.41M","-2.82%"
"05/18/2022","26.09","25.30","26.47","24.52","5.19M","5.24%"
"05/17/2022","24.79","24.07","25.74","24.07","3.59M","0.41%"
"05/16/2022","24.69","26.00","26.19","24.40","4.16M","-4.93%"
"05/13/2022","25.97","26.27","26.48","25.77","3.15M","-3.56%"
"05/12/2022","26.93","27.46","28.19","26.58","3.64M","-1.28%"
"05/11/2022","27.28","27.15","27.70","26.03","2.73M","0.83%"
"05/10/2022","27.06","26.80","28.43","26.55","4.53M","-3.41%"
"05/09/2022","28.01","28.33","28.69","27.32","4.47M","3.47%"
"05/06/2022","27.07","27.40","28.46","26.64","5.87M","0.26%"
"05/05/2022","27.00","25.06","27.58","25.06","7.73M","8.65%"
"05/04/2022","24.85","26.58","26.84","24.85","4.68M","-8.13%"
